Borough,Party,Office / Contest,district_type,district_id,district_label,vote_for,candidate_count,candidates,contested
Manhattan,Democratic,State Committee,assembly,68,68th Assembly District,2,2,"['Stephanie Arroyo', 'Lance Blake']",True
Manhattan,Democratic,State Committee,assembly,71,71st Assembly District,2,1,['Minerva Roman-Luna'],False
Manhattan,Democratic,State Committee,assembly,71,71st Assembly District,2,2,"['Maria A. Luna', 'Nobles Crawford']",True
Manhattan,Democratic,State Committee,assembly,72,72nd Assembly District,2,2,"['Rosendo Mejia Dominguez', 'Dayana Pichardo']",True
Manhattan,Democratic,State Committee,assembly,72,72nd Assembly District,2,2,"['Francesca Castellanos', 'Vicente Paulino']",True
Manhattan,Democratic,State Committee,assembly,72,72nd Assembly District,2,1,['Edgar Tavarez'],False
Manhattan,Democratic,State Comptroller,citywide,,Citywide,1,3,"['Thomas P. DiNapoli', 'Drew Warshaw', 'Raj Goyle']",True
Manhattan,Democratic,State Senator,senate,27,27th Senatorial District,1,2,"['Grace Lee', 'Yuh-Line Niou']",True
Manhattan,Democratic,State Senator,senate,29,29th Senatorial District,1,2,"['Nicholas Reyes', 'Jose M. Serrano']",True
Manhattan,Democratic,State Senator,senate,31,31st Senatorial District,1,2,"['Robert Jackson', 'Nayma Silver-Matos']",True
Queens,Democratic,Delegate to Judicial Convention,assembly,24,24th Assembly District,7,2,"['Albert Baldeo', 'Usha I. Raghunath']",True
Queens,Democratic,Delegate to Judicial Convention,assembly,24,24th Assembly District,7,7,"['Martha Taylor', 'Rhonda S. Binda', 'David I. Weprin', 'John P. Albert', 'Ahnaf Alam', 'Jonathan B. Taylor', 'Mark S. Weprin']",True
Queens,Democratic,Delegate to Judicial Convention,assembly,28,28th Assembly District,8,6,"['Melissa Ann San Pedro', 'Mark J. Laster', 'Christopher R. Hanusa', 'Maria Kaufer', 'Richard J. Nunez-Lawrence', 'Gladys Sandoval']",True
Queens,Democratic,Delegate to Judicial Convention,assembly,28,28th Assembly District,8,1,['Jonathan D. Rinaldi'],False
Queens,Democratic,Delegate to Judicial Convention,assembly,28,28th Assembly District,8,8,"['Karen Koslowitz', 'Sharon Levy', 'David Aronov', 'Maximillian Morquecho', 'Ronnie Croce', 'Edwin K. Wong', 'Myrna C. Jacobson', 'Lara M. Evangelista']",True
Queens,Democratic,Delegate to Judicial Convention,assembly,33,33rd Assembly District,11,11,"['Gregory W. Meeks', 'Roslin Spigner', 'Wanda R. Manley', 'I. Daneek Miller', 'Alma J. Cave', 'Marie A. Slaughter', 'Leroy Manuel', 'Robert Mark Alleyne', 'June B. Bunch', 'Darryl Smith', 'Samuel Murray']",True
Queens,Democratic,Delegate to Judicial Convention,assembly,33,33rd Assembly District,11,6,"['Robert Williams', 'Phil Hollant', 'Warren Ross', 'Danny Jarvis', 'Sandra Long', 'Arnold McKinley']",True
